"小区名称" "所属地区"
"兴隆家园" "朝阳"
"安华西里二区" "朝阳"
"远洋一方北润园" "朝阳"
"柏林爱乐一期" "朝阳"
"天居园" "朝阳"
"京贸国际城东区" "通州"
"中仓小区" "通州"
"太平桥西里" "丰台"
"晨月园" "海淀"
"龙城花园北二区" "昌平"
"远洋山水" "石景山"
"西王庄小区" "海淀"
"龙兴园北区" "昌平"
"探矿家属院" "通州"
"港馨家园东区" "顺义"
"温泉花园B区" "昌平"
"红庙北里" "朝阳"
"管庄西里" "朝阳"
"温泉花园A区" "昌平"
"新华街二里" "丰台"
"运河居" "通州"
"模式口西里" "石景山"
"紫南家园" "朝阳"
"小南庄社区" "海淀"
"格兰晴天" "通州"
"翠微西里" "海淀"
"鲁能7号院颐景溪园" "顺义"
"彩虹城二区" "丰台"
"水郡长安" "朝阳"
"紫竹院南路20号院" "海淀"
"芳星园二区" "丰台"
"葛布店北里" "通州"
"天畅园" "朝阳"
"手帕口北街" "西城"
"同兴园" "大兴"
"周井大院" "朝阳"
"融域嘉园" "朝阳"
"世纪星城三期" "通州"
"双河北里" "大兴"
"双河北里尚城" "大兴"
"农林科学院宿舍" "海淀"
"鑫苑小区" "通州"
"蓝星花园" "顺义"
"北苑家园望春园" "朝阳"
"西三环北路82号院" "海淀"
"北京上舍" "东城"
"丝竹园小区" "朝阳"
"双榆树南里二区" "海淀"
"西马金润二区" "丰台"
"汇鸿家园" "朝阳"
"中建国际港" "大兴"
"富力城D区" "朝阳"
"六铺炕一区" "西城"
"六铺炕二区" "西城"
"六铺炕三区" "西城"
"六铺炕" "东城"
"六铺炕一区6号院" "西城"
"安德馨居" "西城"
"黄寺大街24号院" "西城"
"教场口9号院" "西城"
"人定湖西里" "西城"
"教场口6号院" "西城"
"北广家园" "西城"
"盛晖嘉园" "西城"
"安德路" "西城"
"德胜世嘉" "西城"
"德外大街乙12号院" "西城"
"塔院胡同12号院" "西城"
"什坊街2号院" "西城"
"小市口胡同3号院" "西城"
"丽豪园" "西城"
"什坊街" "西城"
"德胜置业" "西城"
"小石桥胡同11号院" "西城"
"教场口街2号院" "西城"
"小石桥胡同3号院" "西城"
"人定湖北巷" "西城"
"大井胡同" "西城"
"西绦胡同" "西城"
"安德东里" "西城"
"五路通北街" "西城"
"龙岳洲" "西城"
"红华住宅区" "大兴"
"黄亭子小区" "海淀"
"羊坊店路3号院" "海淀"
"吉祥里" "朝阳"
"手帕口北街" "西城"
"万寿路12号院" "海淀"
"翠微路2号院" "海淀"
"梨花园" "通州"
"厂洼西街1号院" "海淀"
"右安门内西街甲10号院" "西城"
"右安门内西街甲10号院平房" "西城"
"夏都盈座" "朝阳"
"后现代城" "朝阳"
"柏林爱乐四期" "朝阳"
"新通国际花园" "通州"
"三环新城8号院" "丰台"
"手帕口北街" "西城"
"大方居" "通州"
"芍药居北里" "朝阳"
"绿雅阁" "朝阳"
"阳光空间" "朝阳"
"世嘉座" "朝阳"
"世捷座" "朝阳"
"兴海园" "大兴"
"动街区" "海淀"
"华威北里" "朝阳"
"北京新天地" "朝阳"
"弘善家园" "朝阳"
"莱圳家园" "海淀"
"京汉旭城" "石景山"
"京汉旭城三期" "石景山"
"红山世家" "西城"
"融科橄榄城一期" "朝阳"
"七星园" "石景山"
"华龙美钰" "西城"
"北京新天地" "朝阳"
"西坝河中里" "朝阳"
"东恒时代一期" "朝阳"
"复兴门外大街" "西城"
"八角南路" "石景山"
"糖人街" "丰台"
"达富苑" "通州"
